Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
,Algeria,28.0339,1.6596,1/29/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,1/28/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,1/27/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,1/26/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,1/25/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,1/24/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,1/23/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,1/22/2020,0,DZA,2,15,
,Andorra,42.5063,1.5218,4/7/2020,545,AND,150,39,
,Andorra,42.5063,1.5218,4/6/2020,525,AND,150,39,
,Andorra,42.5063,1.5218,4/5/2020,501,AND,150,39,
,Andorra,42.5063,1.5218,4/4/2020,466,AND,150,39,
,Andorra,42.5063,1.5218,4/3/2020,439,AND,150,39,
,Andorra,42.5063,1.5218,4/2/2020,428,AND,150,39,
,Andorra,42.5063,1.5218,4/1/2020,390,AND,150,39,
,Andorra,42.5063,1.5218,3/31/2020,376,AND,150,39,
,Andorra,42.5063,1.5218,3/30/2020,370,AND,150,39,
,Andorra,42.5063,1.5218,3/29/2020,334,AND,150,39,
,Andorra,42.5063,1.5218,3/28/2020,308,AND,150,39,
,Andorra,42.5063,1.5218,3/27/2020,267,AND,150,39,
,Andorra,42.5063,1.5218,3/26/2020,224,AND,150,39,
,Andorra,42.5063,1.5218,3/25/2020,188,AND,150,39,
,Andorra,42.5063,1.5218,3/24/2020,164,AND,150,39,
,Andorra,42.5063,1.5218,3/23/2020,133,AND,150,39,
,Andorra,42.5063,1.5218,3/22/2020,113,AND,150,39,
,Andorra,42.5063,1.5218,3/21/2020,88,AND,150,39,
,Andorra,42.5063,1.5218,3/20/2020,75,AND,150,39,
,Andorra,42.5063,1.5218,3/19/2020,53,AND,150,39,
,Andorra,42.5063,1.5218,3/18/2020,39,AND,150,39,
,Andorra,42.5063,1.5218,3/17/2020,39,AND,150,39,
,Andorra,42.5063,1.5218,3/16/2020,2,AND,150,39,
,Andorra,42.5063,1.5218,3/15/2020,1,AND,150,39,
,Andorra,42.5063,1.5218,3/14/2020,1,AND,150,39,
,Andorra,42.5063,1.5218,3/13/2020,1,AND,150,39,
,Andorra,42.5063,1.5218,3/12/2020,1,AND,150,39,
,Andorra,42.5063,1.5218,3/11/2020,1,AND,150,39,
,Andorra,42.5063,1.5218,3/10/2020,1,AND,150,39,
,Andorra,42.5063,1.5218,3/9/2020,1,AND,150,39,
,Andorra,42.5063,1.5218,3/8/2020,1,AND,150,39,
,Andorra,42.5063,1.5218,3/7/2020,1,AND,150,39,
,Andorra,42.5063,1.5218,3/6/2020,1,AND,150,39,
,Andorra,42.5063,1.5218,3/5/2020,1,AND,150,39,
,Andorra,42.5063,1.5218,3/4/2020,1,AND,150,39,
,Andorra,42.5063,1.5218,3/3/2020,1,AND,150,39,
,Andorra,42.5063,1.5218,3/2/2020,1,AND,150,39,
,Andorra,42.5063,1.5218,3/1/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/29/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/28/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/27/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/26/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/25/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/24/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/23/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/22/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/21/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/20/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/19/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/18/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/17/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/16/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/15/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/14/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/13/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/12/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/11/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/10/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/9/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/8/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/7/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/6/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/5/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/4/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/3/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/2/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,2/1/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,1/31/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,1/30/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,1/29/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,1/28/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,1/27/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,1/26/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,1/25/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,1/24/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,1/23/2020,0,AND,150,39,
,Andorra,42.5063,1.5218,1/22/2020,0,AND,150,39,
,Angola,-11.2027,17.8739,4/7/2020,17,AGO,2,202,17
,Angola,-11.2027,17.8739,4/6/2020,16,AGO,2,202,17
,Angola,-11.2027,17.8739,4/5/2020,14,AGO,2,202,17
,Angola,-11.2027,17.8739,4/4/2020,10,AGO,2,202,17
,Angola,-11.2027,17.8739,4/3/2020,8,AGO,2,202,17
,Angola,-11.2027,17.8739,4/2/2020,8,AGO,2,202,17
,Angola,-11.2027,17.8739,4/1/2020,8,AGO,2,202,17
,Angola,-11.2027,17.8739,3/31/2020,7,AGO,2,202,17
,Angola,-11.2027,17.8739,3/30/2020,7,AGO,2,202,17
,Angola,-11.2027,17.8739,3/29/2020,7,AGO,2,202,17
,Angola,-11.2027,17.8739,3/28/2020,5,AGO,2,202,17
,Angola,-11.2027,17.8739,3/27/2020,4,AGO,2,202,17
,Angola,-11.2027,17.8739,3/26/2020,4,AGO,2,202,17
,Angola,-11.2027,17.8739,3/25/2020,3,AGO,2,202,17
,Angola,-11.2027,17.8739,3/24/2020,3,AGO,2,202,17
,Angola,-11.2027,17.8739,3/23/2020,3,AGO,2,202,17
,Angola,-11.2027,17.8739,3/22/2020,2,AGO,2,202,17
,Angola,-11.2027,17.8739,3/21/2020,2,AGO,2,202,17
